호선명,시간,승차인원,하차인원
5호선,506,7992,1547
5호선,607,18445,10611
5호선,708,58566,29023
5호선,809,69908,80276
5호선,910,35972,38304
5호선,1011,28855,24063
5호선,1112,30201,24261
5호선,1213,32664,26334
5호선,1314,35202,29536
5호선,1415,36012,32296
5호선,1516,39088,34632
5호선,1617,43534,40271
5호선,1718,52528,47170
5호선,1819,63414,61982
5호선,1920,40333,55955
5호선,2021,29129,36658
5호선,2122,26095,31768
5호선,2223,23113,28645
5호선,2324,11175,19146
5호선,2401,16013,19973
6호선,506,4788,1139
6호선,607,10360,5337
6호선,708,33543,12892
6호선,809,43146,37367
6호선,910,21261,20113
6호선,1011,16103,13775
6호선,1112,16563,13907
6호선,1213,17962,15524
6호선,1314,19251,16944
6호선,1415,19417,17657
6호선,1516,20696,19829
6호선,1617,23552,20404
6호선,1718,27510,28361
6호선,1819,31686,37055
6호선,1920,22013,34643
6호선,2021,16142,22451
6호선,2122,15289,18440
6호선,2223,15726,18124
6호선,2324,7213,13024
6호선,2401,7110,12380
7호선,506,10115,2193
7호선,607,22875,11681
7호선,708,70763,30314
7호선,809,85171,88721
7호선,910,44128,53417
7호선,1011,31981,30336
7호선,1112,31384,28073
7호선,1213,34752,29612
7호선,1314,38168,33787
7호선,1415,40542,36649
7호선,1516,45063,40839
7호선,1617,50696,46396
7호선,1718,59994,54821
7호선,1819,67456,70247
7호선,1920,46927,63450
7호선,2021,35146,41999
7호선,2122,32028,35175
7호선,2223,26340,32307
7호선,2324,12100,22227
7호선,2401,8262,17747
8호선,506,2384,602
8호선,607,5456,2843
8호선,708,16882,6171
8호선,809,22309,15797
8호선,910,10948,8905
8호선,1011,7974,6238
8호선,1112,7729,6392
8호선,1213,8253,7191
8호선,1314,9145,8223
8호선,1415,9401,8784
8호선,1516,9987,10735
8호선,1617,10978,11737
8호선,1718,12526,13490
8호선,1819,14619,17302
8호선,1920,10100,15953
8호선,2021,7531,10505
8호선,2122,6562,8609
8호선,2223,5775,8069
8호선,2324,2706,5488
8호선,2401,1677,4872
